movie_id,imdb_id,title,country,director,genre,festival
119,tt2708210,a time is a terrible thing to waste,Canada,Leslie Supnet,other fiction,tiff
1190,tt2526134,the night of the witness,South Korea,Buem Park,other fiction,clermontferrand
1191,tt2866544,the norm of life,Russia,Evgeny Byalo,other fiction,cannes
1192,tt2215221,the nun,France,Guillaume Nicloux,other fiction,berlinale
1193,tt1846783,the orator,Samoa,Tusi Tamasese,other fiction,berlinale
1194,tt3037846,the out list,United States,Timothy Greenfieldsanders,other documentary,frameline
1195,tt2404461,the past,France,Asghar Farhadi,other fiction,cannes
1197,tt2814560,the pigeon family,United States,Cyra K Polizzi,other fiction,frameline
1198,tt2645142,the plague,Spain,Neus Balls,other fiction,berlinale
1199,tt1734429,the police officers wife,Germany,Philip Groning,other fiction,tiff
12,tt2332707,blind detective,China,Johnnie To,other fiction,cannes
120,tt0318161,a very very silent film,India,Manish Jha,experimental fiction,clermontferrand
1200,tt3438704,the private life of fenfen,United States,Leslie Tai,other documentary,idfa
1201,tt2231627,the pub,United Kingdom,Pierce Joseph,animation fiction,clermontferrand
1202,tt3400550,the queen,Argentina,Manuel Abramovich,other documentary,idfa
1203,tt0041776,the queen of spades,United Kingdom,Thorold Dickinson,other fiction,berlinale
1204,tt2689366,the questioning,China,Rikun Zhu,other documentary,idfa
1205,tt2058107,the railway man,Australia,Jonathan Teplitzky,other fiction,tiff
1206,tt2952902,the realist,United States,Scott Stark,other fiction,tiff
1207,tt2539478,the red carpet,Spain,Manuel Fernndez,other documentary,idfa
1208,tt2621110,the revenants,Germany,Andreas Bolm,other fiction,berlinale
1209,tt2014268,the rice paddy,France,Zhu Xiaoling,other fiction,berlinale
121,tt0170734,a visitor from the living,France,Claude Lanzmann,other documentary,berlinale
1210,tt2286990,the right kind of wrong,Canada,Jeremiah Chechik,other fiction,tiff
1211,tt2294979,the river,Australia,Tarquin Netherway,experimental fiction,clermontferrand
1212,tt3461442,the river,Algeria,Abdenour Zahzah,other documentary,idfa
1213,tt2671614,the rivers of babylon,China,Zhou Yan,other fiction,berlinale
1214,tt2178256,the rocket,Australia,Kim Mordaunt,other fiction,berlinale
1215,tt2630808,the runaway,France,Jeanbernard Marlin,other fiction,berlinale
1216,tt2721584,the runaway troupe of the cartesian theater,Germany,Lior Shamriz,other documentary,berlinale
1217,tt2383068,the sacrament,United States,Ti West,other fiction,tiff
